[START OF SIMULATION]
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X0000025D]=0X21
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X21
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X0000025E,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X0000025E]=0X0A
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X0A
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X0000025F,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X0000025F]=0X00
0X00000028:	cmpi r3,0	SR=0X00000042
0X0000002C:	beq 3	PC=0X0000003C
0X0000003C:	pop r31	{R31}=MEM[0X00007FDC]{0X00000002}
0X00000040:	ret	PC=MEM[0X00007FE4]=0X00000074
0X00000074:	pop r31,r2,r1	{R31,R2,R1}=MEM[0X00007FE4]{0X00000002,0X00000000,0X00000000}
0X00000078:	reti	IPC=MEM[0X00007FF4]=0X00000000,CR=MEM[0X00007FF8]=0X00000000,PC=MEM[0X00007FFC]=0X000001BC
0X000001BC:	int 1	CR=0X00000001,PC=0X0000000C
0X0000000C:	bun 27	PC=0X0000007C
0X0000007C:	push r1, r2,r31	MEM[0X00007FF0]{0X00000000,0X00000000,0X00000002}={R1, R2,R31}
0X00000080:	mov r1,608	R1=0X00000260
0X00000084:	addi r1,r1,1	R1=R1+0X00000001=0X00000261,SR=0X00000002
0X00000088:	l8 r2,[r1-0]	R2=MEM[0X00000261]=0X4F
0X0000008C:	cmpi r2,10	SR=0X00000002
0X00000090:	bne -4	PC=0X00000084
0X00000084:	addi r1,r1,1	R1=R1+0X00000001=0X00000262,SR=0X00000002
0X00000088:	l8 r2,[r1-0]	R2=MEM[0X00000262]=0X46
0X0000008C:	cmpi r2,10	SR=0X00000002
0X00000090:	bne -4	PC=0X00000084
0X00000084:	addi r1,r1,1	R1=R1+0X00000001=0X00000263,SR=0X00000002
0X00000088:	l8 r2,[r1-0]	R2=MEM[0X00000263]=0X54
0X0000008C:	cmpi r2,10	SR=0X00000002
0X00000090:	bne -4	PC=0X00000084
0X00000084:	addi r1,r1,1	R1=R1+0X00000001=0X00000264,SR=0X00000002
0X00000088:	l8 r2,[r1-0]	R2=MEM[0X00000264]=0X57
0X0000008C:	cmpi r2,10	SR=0X00000002
0X00000090:	bne -4	PC=0X00000084
0X00000084:	addi r1,r1,1	R1=R1+0X00000001=0X00000265,SR=0X00000002
0X00000088:	l8 r2,[r1-0]	R2=MEM[0X00000265]=0X41
0X0000008C:	cmpi r2,10	SR=0X00000002
0X00000090:	bne -4	PC=0X00000084
0X00000084:	addi r1,r1,1	R1=R1+0X00000001=0X00000266,SR=0X00000002
0X00000088:	l8 r2,[r1-0]	R2=MEM[0X00000266]=0X52
0X0000008C:	cmpi r2,10	SR=0X00000002
0X00000090:	bne -4	PC=0X00000084
0X00000084:	addi r1,r1,1	R1=R1+0X00000001=0X00000267,SR=0X00000002
0X00000088:	l8 r2,[r1-0]	R2=MEM[0X00000267]=0X45
0X0000008C:	cmpi r2,10	SR=0X00000002
0X00000090:	bne -4	PC=0X00000084
0X00000084:	addi r1,r1,1	R1=R1+0X00000001=0X00000268,SR=0X00000002
0X00000088:	l8 r2,[r1-0]	R2=MEM[0X00000268]=0X20
0X0000008C:	cmpi r2,10	SR=0X00000002
0X00000090:	bne -4	PC=0X00000084
0X00000084:	addi r1,r1,1	R1=R1+0X00000001=0X00000269,SR=0X00000002
0X00000088:	l8 r2,[r1-0]	R2=MEM[0X00000269]=0X52
0X0000008C:	cmpi r2,10	SR=0X00000002
0X00000090:	bne -4	PC=0X00000084
0X00000084:	addi r1,r1,1	R1=R1+0X00000001=0X0000026A,SR=0X00000002
0X00000088:	l8 r2,[r1-0]	R2=MEM[0X0000026A]=0X45
0X0000008C:	cmpi r2,10	SR=0X00000002
0X00000090:	bne -4	PC=0X00000084
0X00000084:	addi r1,r1,1	R1=R1+0X00000001=0X0000026B,SR=0X00000002
